Code,Longitude,Latitude
G0A,47.05536821,-71.27914171
G0C,48.19145355,-65.45981478
G0E,49.18952949,-65.64647083
G0G,50.95432872,-62.30939963
G0H,49.18699407,-68.08872984
G0J,48.52230923,-67.46785525
G0K,48.27788646,-68.4045883
G0L,47.7843443,-69.21684834
G0M,46.00162074,-70.73237263
G0N,46.11277248,-71.27660932
G0P,46.02528713,-71.7773908
G0R,46.80286258,-70.44013505
G0S,46.47743057,-71.46638947
G0T,48.16625207,-69.66100728
G0V,48.38677505,-70.80977919
G0W,48.78745626,-72.36860482
G0X,46.67739577,-72.59741046
G0Y,45.62258635,-71.03607298
G0Z,46.16605454,-72.17934909
G1A,46.80973267,-71.22986074
G1B,46.89479161,-71.21871901
G1C,46.87535219,-71.20437487
G1E,46.85684527,-71.20846523
G1G,46.8734077,-71.2812945
G1H,46.85368359,-71.26644548
G1J,46.83673372,-71.22662208
G1K,46.81400093,-71.22818226
G1L,46.83127441,-71.24415924
G1M,46.81913758,-71.26946553
G1N,46.80874057,-71.2545774
G1P,46.8115899,-71.31043453
G1R,46.80982181,-71.22022004
G1S,46.79665678,-71.24693006
G1T,46.77981711,-71.26531301
G1V,46.78095887,-71.2847914
G1W,46.7700696,-71.28862189
G1X,46.77723365,-71.3289343
G1Y,46.76828029,-71.34590199
G2A,46.85529936,-71.35257493
G2B,46.84105804,-71.34606784
G2C,46.82798293,-71.32838122
G2E,46.8061976,-71.35708375
G2G,46.79681726,-71.36406706
G2J,46.84262244,-71.2814051
G2K,46.84698515,-71.30090544
G2L,46.87892501,-71.25827058
G2M,46.90120944,-71.30248075
G2N,46.88364107,-71.32482854
G3A,46.74190465,-71.43089605
G3B,46.95750542,-71.29682826
G3C,47.01294885,-71.37006835
G3E,46.86685286,-71.33111687
G3G,46.88038897,-71.35348327
G3H,46.76239973,-71.68431856
G3J,46.85772229,-71.43020784
G3K,46.8434189,-71.40023957
G3L,46.89334298,-71.82186151
G3M,46.67861626,-71.72634159
G3N,46.86326968,-71.6112529
G3S,46.82278551,-71.49606783
G3Z,47.46123064,-70.61095673
G4A,47.69467521,-70.22564617
G4R,50.216987,-66.37327509
G4S,50.25449585,-66.40509463
G4T,47.37348382,-61.8517838
G4V,49.13025149,-66.46956575
G4W,48.8511072,-67.53966415
G4X,48.87530185,-64.45082645
G4Z,49.21691662,-68.16908232
G5A,47.66548831,-70.14261233
G5B,50.02445832,-66.87794415
G5C,49.19376759,-68.27322979
G5H,48.58723721,-68.190684
G5J,48.46656221,-67.43075105
G5L,48.4448224,-68.53253514
G5M,48.49130834,-68.47536353
G5N,48.39993567,-68.50102247
G5R,47.8312229,-69.53227407
G5T,47.54844706,-68.64343742
G5V,46.9783701,-70.5566282
G5X,46.21009697,-70.77274966
G5Y,46.11575471,-70.66739725
G5Z,46.10608869,-70.67290144
G6A,46.13609974,-70.6723512
G6B,45.58012995,-70.88883395
G6C,46.7629868,-71.12015887
G6E,46.44441604,-71.02447237
G6G,46.10051416,-71.29740044
G6H,46.08034989,-71.33746333
G6J,46.65449989,-71.31036827
G6K,46.69236415,-71.29074673
G6L,46.20085104,-71.81580365
G6P,46.0552775,-71.95486974
G6R,46.03181127,-71.97289722
G6S,46.04612561,-71.91733302
G6T,46.07421155,-71.97448513
G6V,46.81090347,-71.16524321
G6W,46.76012028,-71.22132375
G6X,46.7169943,-71.26743207
G6Y,46.80391106,-71.1438468
G6Z,46.72120424,-71.20160913
G7A,46.69282832,-71.36681921
G7B,48.33036882,-70.88618855
G7G,48.44639763,-71.06860535
G7H,48.4145772,-71.05140277
G7J,48.41804826,-71.08653807
G7K,48.35222626,-71.14580129
G7N,48.32230452,-71.12150886
G7P,48.52240015,-71.29661288
G7S,48.41954833,-71.17665689
G7T,48.40311198,-71.19562508
G7X,48.41442002,-71.24507539
G7Y,48.38388578,-71.26730876
G7Z,48.42956374,-71.26618911
G8A,48.41358278,-71.26799187
G8B,48.55072524,-71.64694275
G8C,48.53665639,-71.65260488
G8E,48.61435628,-71.66667317
G8G,48.42058618,-71.85378929
G8H,48.5063145,-72.22417477
G8J,48.62131008,-72.40802722
G8K,48.65934637,-72.44109798
G8L,48.88080084,-72.21648369
G8M,48.85681959,-72.48160465
G8N,48.38907986,-71.67982802
G8P,49.91485706,-74.36918954
G8T,46.3767461,-72.52907441
G8V,46.39640131,-72.52306557
G8W,46.39612678,-72.58245417
G8Y,46.35875608,-72.60135958
G8Z,46.34701594,-72.56864153
G9A,46.34152533,-72.55468344
G9B,46.31432658,-72.62706682
G9C,46.38501118,-72.64963077
G9H,46.32884161,-72.40658834
G9N,46.5636313,-72.7417363
G9P,46.51913368,-72.74585785
G9R,46.5977638,-72.7945174
G9T,46.6156928,-72.69222792
G9X,47.42978449,-72.78185957
H0M,45.03265023,-74.55789427
H1A,45.67013001,-73.49948345
H1B,45.63982247,-73.50356537
H1C,45.65687685,-73.55830371
H1E,45.63766813,-73.58808406
H1G,45.60953354,-73.62458856
H1H,45.58922419,-73.64041858
H1J,45.61095828,-73.57549224
H1K,45.60743855,-73.54566805
H1L,45.60114851,-73.52109322
H1M,45.58727635,-73.55612866
H1N,45.57234881,-73.54253827
H1P,45.5954998,-73.59337786
H1R,45.58533483,-73.60670352
H1S,45.57932548,-73.58356496
H1T,45.57304871,-73.5713518
H1V,45.55310809,-73.54270893
H1W,45.54417604,-73.54874513
H1X,45.55566201,-73.57313555
H1Y,45.54882244,-73.57875854
H1Z,45.57213384,-73.61972403
H2A,45.55988018,-73.60014813
H2B,45.57389889,-73.65050479
H2C,45.55960702,-73.65921283
H2E,45.5515247,-73.61176594
H2G,45.54435666,-73.59262104
H2H,45.53637915,-73.5747404
H2J,45.529165,-73.5834622
H2K,45.52983869,-73.55664732
H2L,45.51751368,-73.567295
H2M,45.55218456,-73.64100543
H2N,45.53984019,-73.65129508
H2P,45.5434751,-73.63400676
H2R,45.54069046,-73.6205436
H2S,45.53497687,-73.60826776
H2T,45.52439694,-73.59368679
H2V,45.51872122,-73.60870711
H2W,45.51887995,-73.58150431
H2X,45.51432894,-73.57117307
H2Y,45.50462241,-73.56014245
H2Z,45.50695883,-73.5659092
H3A,45.50482361,-73.57513039
H3B,45.50269683,-73.57296637
H3C,45.49380138,-73.59520067
